Name of the Movie,Year,Rate,Metascore,Votes,n_Rate
Inception,2010,8.8,74,2334129,88.0
Shutter Island,2010,8.2,63,1303396,82.0
Toy Story 3,2010,8.3,92,833234,83.0
Iron Man 2,2010,6.9,57,814835,69.0
Black Swan,2010,8.0,79,765214,80.0
How to Train Your Dragon,2010,8.1,75,737794,81.0
The Social Network,2010,7.8,95,701019,78.0
The King's Speech,2010,8.0,88,680447,80.0
Kick-Ass,2010,7.6,66,563217,76.0
Despicable Me,2010,7.6,72,547244,76.0
Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,546740,77.0
Tangled,2010,7.7,71,452970,77.0
Scott Pilgrim vs. the World,2010,7.5,69,426160,75.0
Alice in Wonderland,2010,6.4,53,415597,64.0
Easy A,2010,7.0,72,391652,70.0
The Town,2010,7.5,74,391202,75.0
127 Hours,2010,7.6,82,377627,76.0
The Fighter,2010,7.8,79,368531,78.0
The Expendables,2010,6.4,45,346561,64.0
Due Date,2010,6.5,51,344668,65.0
True Grit,2010,7.6,80,339839,76.0
Tron,2010,6.8,49,338150,68.0
The Book of Eli,2010,6.8,53,319324,68.0
Salt,2010,6.4,65,315761,64.0
Insidious,2010,6.8,52,310126,68.0
RED,2010,7.0,60,309877,70.0
Prince of Persia: The Sands of Time,2010,6.6,50,290782,66.0
Clash of the Titans,2010,5.8,39,283453,58.0
Robin Hood,2010,6.6,53,270549,66.0
The Other Guys,2010,6.6,64,269753,66.0
Megamind,2010,7.3,63,262961,73.0
The A-Team,2010,6.7,47,259836,67.0
Grown Ups,2010,5.9,30,253353,59.0
The Twilight Saga: Eclipse,2010,5.0,58,247179,50.0
The Tourist,2010,6.0,37,244410,60.0
Predators,2010,6.4,51,232681,64.0
Shrek Forever After,2010,6.3,58,205702,63.0
Love & Other Drugs,2010,6.7,55,205240,67.0
Unstoppable,2010,6.8,69,198430,68.0
Blue Valentine,2010,7.3,81,198333,73.0
Machete,2010,6.6,60,198258,66.0
The Next Three Days,2010,7.3,52,197955,73.0
Knight and Day,2010,6.3,46,197316,63.0
Percy Jackson & the Olympians: The Lightning Thief,2010,5.8,47,189957,58.0
The Karate Kid,2010,6.2,61,185011,62.0
Tucker and Dale vs Evil,2010,7.5,65,181406,75.0
Get Him to the Greek,2010,6.3,65,179495,63.0
Incendies,2010,8.3,80,177780,83.0
Hot Tub Time Machine,2010,6.4,63,176276,64.0
Resident Evil: Afterlife,2010,5.8,37,172606,58.0
The Ghost Writer,2010,7.2,77,164855,72.0
The Last Airbender,2010,4.0,20,164347,40.0
Date Night,2010,6.3,56,163857,63.0
The Sorcerer's Apprentice,2010,6.1,46,163033,61.0
Buried,2010,7.0,65,161774,70.0
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,6.3,53,155370,63.0
Dear John,2010,6.3,43,150016,63.0
Remember Me,2010,7.1,40,148273,71.0
Devil,2010,6.3,44,147637,63.0
Never Let Me Go,2010,7.1,69,146762,71.0
It's Kind of a Funny Story,2010,7.1,63,143991,71.0
Winter's Bone,2010,7.1,90,143901,71.0
She's Out of My League,2010,6.4,46,138185,64.0
Green Zone,2010,6.8,63,138008,68.0
Life as We Know It,2010,6.5,39,132989,65.0
Ang-ma-reul bo-at-da,2010,7.8,67,131293,78.0
The Kids Are All Right,2010,7.0,86,131113,70.0
The Bounty Hunter,2010,5.5,22,128612,55.0
Let Me In,2010,7.1,79,122553,71.0
The Crazies,2010,6.5,56,122148,65.0
Valentine's Day,2010,5.7,34,120442,57.0
From Paris with Love,2010,6.4,42,117911,64.0
The Way Back,2010,7.3,66,117287,73.0
Little Fockers,2010,5.5,27,113567,55.0
Faster,2010,6.4,44,108044,64.0
My Name Is Khan,2010,7.9,50,107655,79.0
The Wolfman,2010,5.8,43,107562,58.0
Dinner for Schmucks,2010,5.9,56,107416,59.0
Repo Men,2010,6.3,32,107412,63.0
The Switch,2010,6.1,52,106738,61.0
Legion,2010,5.2,32,105936,52.0
Yip Man 2,2010,7.5,67,105759,75.0
Paranormal Activity 2,2010,5.7,53,105104,57.0
Leap Year,2010,6.4,33,105001,64.0
Wall Street: Money Never Sleeps,2010,6.2,59,103407,62.0
The Losers,2010,6.3,44,102739,63.0
A Nightmare on Elm Street,2010,5.2,35,101820,52.0
Letters to Juliet,2010,6.5,50,100933,65.0
Saw 3D,2010,5.5,24,99627,55.0
Eat Pray Love,2010,5.8,50,98154,58.0
The American,2010,6.3,61,97786,63.0
Edge of Darkness,2010,6.6,55,95206,66.0
Hereafter,2010,6.5,56,93296,65.0
Karigurashi no Arietty,2010,7.6,80,93280,76.0
Monsters,2010,6.4,63,93224,64.0
Beginners,2010,7.2,81,92553,72.0
Killers,2010,5.4,21,92445,54.0
Piranha 3D,2010,5.5,53,92127,55.0
Submarine,2010,7.3,76,91451,73.0
Biutiful,2010,7.4,58,91253,74.0
Flipped,2010,7.7,45,90635,77.0
Skyline,2010,4.5,26,90196,45.0
Cop Out,2010,5.5,31,88524,55.0
The Last Song,2010,6.0,33,88250,60.0
Burlesque,2010,6.4,47,86712,64.0
I Spit on Your Grave,2010,6.2,27,85181,62.0
Legend of the Guardians: The Owls of Ga'Hoole,2010,6.9,53,84001,69.0
Tropa de Elite 2: O Inimigo Agora é Outro,2010,8.0,71,83490,80.0
Centurion,2010,6.3,62,83367,63.0
Super,2010,6.7,50,80685,67.0
Sex and the City 2,2010,4.5,27,80423,45.0
Morning Glory,2010,6.5,57,79489,65.0
Four Lions,2010,7.3,68,78359,73.0
Inside Job,2010,8.2,88,75932,82.0
Trolljegeren,2010,6.9,61,74884,69.0
Frozen,2010,6.2,43,74364,62.0
Senna,2010,8.5,79,71313,85.0
Gulliver's Travels,2010,4.9,33,70180,49.0
The Debt,2010,6.8,65,69982,68.0
Exit Through the Gift Shop,2010,8.0,85,66673,80.0
Jûsan-nin no shikaku,2010,7.5,84,65996,75.0
Jackass 3D,2010,7.0,56,65901,70.0
Takers,2010,6.2,45,63214,62.0
When in Rome,2010,5.5,25,62806,55.0
Charlie St. Cloud,2010,6.4,37,62717,64.0
Jonah Hex,2010,4.7,33,59443,47.0
Going the Distance,2010,6.3,51,58716,63.0
Step Up 3D,2010,6.1,45,58465,61.0
Animal Kingdom,2010,7.3,83,58132,73.0
All Good Things,2010,6.3,57,56930,63.0
Hesher,2010,6.9,45,52707,69.0
You Again,2010,5.7,28,52431,57.0
Diary of a Wimpy Kid,2010,6.2,56,51810,62.0
Everything Must Go,2010,6.4,65,51472,64.0
How Do You Know,2010,5.4,46,51266,54.0
Death at a Funeral,2010,5.7,51,50706,57.0
The Back-up Plan,2010,5.3,34,50492,53.0
The Last Exorcism,2010,5.7,63,50302,57.0
Rabbit Hole,2010,7.0,76,49753,70.0
Fair Game,2010,6.8,69,49471,68.0
The Runaways,2010,6.5,65,49439,65.0
Vampires Suck,2010,3.4,18,49368,34.0
Don't Be Afraid of the Dark,2010,5.5,56,49301,55.0
Last Night,2010,6.5,50,49025,65.0
Black Death,2010,6.4,71,48751,64.0
London Boulevard,2010,6.2,52,48709,62.0
Tooth Fairy,2010,5.0,36,46948,50.0
The Company Men,2010,6.7,69,46018,67.0
You Will Meet a Tall Dark Stranger,2010,6.3,51,45912,63.0
MacGruber,2010,5.6,43,45784,56.0
Somewhere,2010,6.3,67,45131,63.0
Conviction,2010,7.2,61,44634,72.0
The Spy Next Door,2010,5.4,27,44521,54.0
The Ward,2010,5.5,38,43078,55.0
Catfish,2010,7.1,65,43061,71.0
Stake Land,2010,6.4,66,42895,64.0
Trust,2010,6.9,60,42755,69.0
13,2010,6.0,29,42412,60.0
Stone,2010,5.4,58,41834,54.0
Hævnen,2010,7.6,65,40373,76.0
Wild Target,2010,6.7,41,38654,67.0
Greenberg,2010,6.1,76,37900,61.0
Rubber,2010,5.7,59,37759,57.0
Cyrus,2010,6.3,74,35815,63.0
L'illusionniste,2010,7.5,82,35425,75.0
6 Souls,2010,6.0,28,34827,60.0
The Killer Inside Me,2010,6.1,53,34576,61.0
The Whistleblower,2010,7.1,59,34274,71.0
Nanny McPhee and the Big Bang,2010,6.1,52,33352,61.0
The Way,2010,7.3,64,33140,73.0
"Tomorrow, When the War Began",2010,6.1,54,31339,61.0
Happythankyoumoreplease,2010,6.7,45,30098,67.0
Another Year,2010,7.4,80,29783,74.0
Les amours imaginaires,2010,7.1,70,29339,71.0
Rare Exports,2010,6.6,71,29142,66.0
The Conspirator,2010,6.9,55,29032,69.0
Secretariat,2010,7.2,61,28871,72.0
The Perfect Host,2010,6.7,48,27236,67.0
Boy,2010,7.5,70,26966,75.0
L'arnacoeur,2010,6.7,59,26768,67.0
The Warrior's Way,2010,6.2,45,26554,62.0
Vanishing on 7th Street,2010,4.9,50,26469,49.0
Les petits mouchoirs,2010,7.1,50,25632,71.0
